Rk,Player,Age,Team,Pos,GP,G,A,PTS,SOG▼,-9999
883,Chad Ruhwedel,34,NYR,D,5,0,1,1,1,ruhwech01
884,Jack Ahcan,27,COL,D,2,0,0,0,1,ahcanja01
885,Jake Allen,34,NJD,G,31,0,0,0,1,allenja01
886,Thomas Bordeleau,23,SJS,C,1,0,0,0,1,bordeth01
887,Lukáš Dostál,24,ANA,G,54,0,0,0,1,dostalu01
888,Joshua Dunne,26,BUF,C,2,0,0,0,1,dunnejo01
889,Jack Finley,22,TBL,C,1,0,0,0,1,finleja01
890,Liam Foudy,24,NYI,C,2,0,0,0,1,foudyli01
891,Ryan Greene,21,CHI,C,2,0,0,0,1,greenry01
892,Quinn Hutson,23,EDM,F,2,0,0,0,1,hutsoqu01
893,Reese Johnson,26,MIN,F,3,0,0,0,1,johnsre01
894,Connor Mackey,28,NYR,D,2,0,0,0,1,mackeco01
895,Jacob Markström,35,NJD,G,49,0,0,0,1,marksja02
896,Ty Mueller,21,VAN,C,2,0,0,0,1,muellty01
897,Steven Santini,29,TBL,D,1,0,0,0,1,santist01
898,Arvid Söderblom,25,CHI,G,36,0,0,0,1,soderar01
899,Riley Stillman,26,CAR,D,5,0,0,0,1,stillri01
900,Aydar Suniev,20,CGY,LW,1,0,0,0,1,sunieay01
901,Riley Tufte,26,BOS,LW,6,0,0,0,1,tufteri01
902,Colin White,28,SJS,C,3,0,0,0,1,whiteco02
903,Ilya Sorokin,29,NYI,G,61,1,2,3,0,sorokil01
904,Dustin Wolf,23,CGY,G,53,0,3,3,0,wolfdu01
905,Connor Ingram,27,UTA,G,22,0,2,2,0,ingraco01
906,Spencer Knight,23,2TM,G,38,0,2,2,0,knighsp01
907,Linus Ullmark,31,OTT,G,44,0,2,2,0,ullmali01
908,Andrei Vasilevskiy,30,TBL,G,63,0,2,2,0,vasilan02
909,Frederik Andersen,35,CAR,G,22,0,1,1,0,anderfr01
910,Yaroslav Askarov,22,SJS,G,13,0,1,1,0,askarya01
911,Casey DeSmith,33,DAL,G,27,0,1,1,0,desmica01
912,Alexandar Georgiev,28,2TM,G,49,0,1,1,0,georgal01
913,John Gibson,31,ANA,G,29,0,1,1,0,gibsojo02
914,Connor Hellebuyck,31,WPG,G,63,0,1,1,0,helleco01
915,Joel Hofer,24,STL,G,31,0,1,1,0,hoferjo01
916,Tristan Jarry,29,PIT,G,36,0,1,1,0,jarrytr01
917,Matt Kiersted,26,FLA,D,2,0,1,1,0,kiersma01
918,Darcy Kuemper,34,LAK,G,50,0,1,1,0,kuempda01
919,Kevin Lankinen,29,VAN,G,51,0,1,1,0,lankike01
920,Ukko-Pekka Luukkonen,25,BUF,G,55,0,1,1,0,luukkuk01
921,Elvis Merzļikins,30,CBJ,G,53,0,1,1,0,merzlel01
922,Sam Montembeault,28,MTL,G,62,0,1,1,0,montesa01
923,Jake Oettinger,26,DAL,G,58,0,1,1,0,oettija01
924,Calvin Pickard,32,EDM,G,36,0,1,1,0,pickaca01
925,Jonathan Quick,39,NYR,G,24,0,1,1,0,quickjo01
926,Ilya Samsonov,27,VEG,G,29,0,1,1,0,samsoil01
927,Juuse Saros,29,NSH,G,58,0,1,1,0,sarosju01
928,Anthony Stolarz,31,TOR,G,34,0,1,1,0,stolaan01
929,Daniil Tarasov,25,CBJ,G,20,0,1,1,0,tarasda02
930,Logan Thompson,27,WSH,G,43,0,1,1,0,thomplo01
931,Vítek Vaněček,29,2TM,G,25,0,1,1,0,vanecvi01
932,Karel Vejmelka,28,UTA,G,58,0,1,1,0,vejmeka01
933,Daniel Vladař,27,CGY,G,30,0,1,1,0,vladada01
934,Justus Annunen,24,2TM,G,34,0,0,0,0,annunju01
935,Alex Barré-Boulet,27,MTL,F,2,0,0,0,0,barreal01
936,Jordan Binnington,31,STL,G,56,0,0,0,0,binnijo01
937,Joel Blomqvist,23,PIT,G,15,0,0,0,0,blomqjo01
938,Samuel Bolduc,24,NYI,D,1,0,0,0,0,boldusa01
939,Travis Boyd,31,MIN,C,3,0,0,0,0,boydtr01
940,Chase Bradley,23,COL,LW,2,0,0,0,0,bradlch01
941,Kyle Capobianco,27,DAL,D,1,0,0,0,0,capobky01
942,Drew Commesso,22,CHI,G,2,0,0,0,0,commedr01
943,Eric Comrie,29,WPG,G,20,0,0,0,0,comrier01
944,Pheonix Copley,33,LAK,G,1,0,0,0,0,copleph01
945,Sebastian Cossa,22,DET,G,1,0,0,0,0,cossase01
946,Cameron Crotty,25,MIN,D,1,0,0,0,0,crottca01
947,Nico Daws,24,NJD,G,6,0,0,0,0,dawsni01
948,Thatcher Demko,29,VAN,G,23,0,0,0,0,demkoth01
949,Grigori Denisenko,24,VEG,LW,1,0,0,0,0,denisgr01
950,Jakub Dobes,23,MTL,G,16,0,0,0,0,dobesja01
951,Louis Domingue,32,NYR,G,1,0,0,0,0,dominlo01
952,Samuel Ersson,25,PHI,G,47,0,0,0,0,erssosa01
953,Ivan Fedotov,28,PHI,G,26,0,0,0,0,fedotiv01
954,Marc-André Fleury,40,MIN,G,26,0,0,0,0,fleurma01
955,Anton Forsberg,32,OTT,G,30,0,0,0,0,forsban01
956,Julien Gauthier,27,NYI,RW,1,0,0,0,0,gauthju01
957,Adam Ginning,25,PHI,D,1,0,0,0,0,ginniad01
958,Jet Greaves,23,CBJ,G,11,0,0,0,0,greavje01
959,Philipp Grubauer,33,SEA,G,26,0,0,0,0,grubaph01
960,Robert Hägg,29,VEG,D,2,0,0,0,0,haggro01
961,Brandon Halverson,28,TBL,G,1,0,0,0,0,halvebr01
962,Rafaël Harvey-Pinard,26,MTL,LW,1,0,0,0,0,harvera01
963,Dennis Hildeby,23,TOR,G,6,0,0,0,0,hildede01
964,Adin Hill,28,VEG,G,50,0,0,0,0,hillad01
965,Marcus Högberg,30,NYI,G,15,0,0,0,0,hogbema01
966,Ville Husso,29,2TM,G,13,0,0,0,0,hussovi01
967,Jan Jeník,24,OTT,RW,2,0,0,0,0,jenikja01
968,Jonas Johansson,29,TBL,G,19,0,0,0,0,johanjo03
969,Kaapo Kähkönen,28,COL,G,1,0,0,0,0,kahkoka01
970,Devin Kaplan,21,PHI,RW,1,0,0,0,0,kaplade01
971,Niklas Kokko,20,SEA,G,1,0,0,0,0,kokkoni01
972,Aleksei Kolosov,23,PHI,G,17,0,0,0,0,kolosal01
973,Joonas Korpisalo,30,BOS,G,27,0,0,0,0,korpijo01
974,Tristan Lennox,22,NYI,G,1,0,0,0,0,lennotr01
975,Devon Levi,23,BUF,G,9,0,0,0,0,levide01
976,Charlie Lindgren,31,WSH,G,39,0,0,0,0,lindgch01
977,Alex Lyon,32,DET,G,30,0,0,0,0,lyonal01
978,James Malatesta,21,CBJ,LW,2,0,0,0,0,malatja01
979,Spencer Martin,29,CAR,G,9,0,0,0,0,martisp01
980,Carter Mazur,22,DET,LW,1,0,0,0,0,mazurca01
981,Jacob Melanson,21,SEA,RW,1,0,0,0,0,melanja01
982,Leevi Merilainen,22,OTT,G,12,0,0,0,0,merille01
983,Michael Milne,22,MIN,LW,1,0,0,0,0,milnemi01
984,Trent Miner,23,COL,G,2,0,0,0,0,minertr01
985,Daniil Misyul,24,NJD,D,1,0,0,0,0,misyuda01
986,Mason Morelli,28,VEG,F,1,0,0,0,0,morelma01
987,Petr Mrázek,32,2TM,G,38,0,0,0,0,mrazepe01
988,Brett Murray,26,BUF,LW,3,0,0,0,0,murrabr02
989,Matt Murray,30,TOR,G,2,0,0,0,0,murrama02
990,Victor Ostman,24,SEA,G,1,0,0,0,0,ostmavi01
991,Yaniv Perets,24,CAR,G,1,0,0,0,0,peretya01
992,Erik Portillo,24,LAK,G,1,0,0,0,0,portier01
993,Cayden Primeau,25,MTL,G,11,0,0,0,0,primeca01
994,Jacob Quillan,22,TOR,F,1,0,0,0,0,quillja01
995,James Reimer,36,2TM,G,24,0,0,0,0,reimeja01
996,David Rittich,32,LAK,G,34,0,0,0,0,rittida01
997,Olivier Rodrigue,24,EDM,G,2,0,0,0,0,rodriol01
998,Georgi Romanov,25,SJS,G,8,0,0,0,0,romange01
999,Scott Sabourin,32,SJS,F,1,0,0,0,0,sabousc01
1000,Akira Schmid,24,VEG,G,5,0,0,0,0,schmiak01
1001,Donovan Sebrango,23,OTT,D,2,0,0,0,0,sebrado01
1002,Hunter Shepard,29,WSH,G,1,0,0,0,0,shepahu01
1003,Igor Shesterkin,29,NYR,G,61,0,0,0,0,shestig01
1004,Owen Sillinger,27,CBJ,F,1,0,0,0,0,silliow01
1005,Arturs Silovs,23,VAN,G,10,0,0,0,0,silovar01
1006,Jakub Skarek,25,NYI,G,2,0,0,0,0,skareja01
1007,Stuart Skinner,26,EDM,G,51,0,0,0,0,skinnst01
1008,Jaxson Stauber,25,UTA,G,6,0,0,0,0,staubja01
1009,Clay Stevenson,25,WSH,G,1,0,0,0,0,stevecl01
1010,Ales Stezka,28,SEA,G,1,0,0,0,0,stezkal01
1011,Ryan Suzuki,23,CAR,C,2,0,0,0,0,suzukry01
1012,Jeremy Swayman,26,BOS,G,58,0,0,0,0,swaymje01
1013,Mads Søgaard,24,OTT,G,2,0,0,0,0,sogaama01
1014,Cam Talbot,37,DET,G,47,0,0,0,0,talboca01
1015,Dustin Tokarski,35,CAR,G,6,0,0,0,0,tokardu01
1016,Nikita Tolopilo,24,VAN,G,2,0,0,0,0,tolopni01
1017,Ryan Ufko,21,NSH,D,1,0,0,0,0,ufkory01
1018,Semyon Varlamov,36,NYI,G,10,0,0,0,0,varlasi01
1019,Matt Villalta,25,UTA,G,1,0,0,0,0,villama01
1020,Jesper Wallstedt,22,MIN,G,2,0,0,0,0,wallsje01
1021,Scott Wedgewood,32,2TM,G,24,0,0,0,0,wedgesc01
1022,Jack Williams,,CBJ,F,1,0,0,0,0,willija02
1023,Joseph Woll,26,TOR,G,42,0,0,0,0,wolljo01
,League Average,,,,,,,,,-9999


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/leagues/NHL_2025_skaters.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#player_stats">View Original Table</a><br>Generated 10/29/2025.
