Rk,Player,Age,Team,Pos,GP,G,A,PTS,SOG▼,-9999
605,Elmer Söderblom,23,DET,RW,26,4,7,11,38,soderel01
606,Jordan Oesterle,32,2TM,D,37,4,6,10,38,oestejo01
607,Haydn Fleury,28,WPG,D,39,0,7,7,38,fleurha01
608,Egor Zamula,24,PHI,D,63,3,12,15,37,zamulye01
609,Erik Johnson,36,2TM,D,36,2,3,5,37,johnser01
610,Jordan Greenway,27,BUF,LW,34,3,5,8,36,greenjo02
611,Jimmy Vesey,31,2TM,LW,43,5,3,8,36,veseyji02
612,Kevin Labanc,29,CBJ,RW,34,2,10,12,35,labanke01
613,Hampus Lindholm,31,BOS,D,17,3,4,7,35,lindhha01
614,Aatu Räty,22,VAN,C,33,7,4,11,34,ratyaa01
615,Kaedan Korczak,24,VEG,D,40,0,10,10,34,korczka01
616,Ivan Ivan,22,COL,F,40,5,3,8,34,ivaniv01
617,Justin Dowling,34,NJD,C,52,2,5,7,34,dowliju01
618,Landon Slaggert,22,CHI,LW,33,2,4,6,34,slaggla01
619,Liam O'Brien,30,UTA,C,28,0,2,2,34,obrieli01
620,Erik Brännström,25,VAN,D,28,3,5,8,33,branner01
621,Jeff Petry,37,DET,D,44,1,7,8,33,petryje01
622,Tyler Tucker,24,STL,D,38,3,4,7,33,tuckety01
623,Matthew Highmore,28,OTT,LW,41,2,4,6,33,highmma01
624,Adam Wilsby,24,NSH,D,23,1,4,5,33,wilsbad01
625,Cole Schwindt,23,VEG,RW,42,1,7,8,32,schwico01
626,Jacob Bernard-Docker,24,2TM,D,40,2,6,8,32,bernaja01
627,Mikael Pyyhtia,23,CBJ,LW,47,4,3,7,32,pyyhtmi01
628,Liam Ohgren,21,MIN,LW,24,2,3,5,32,ohgreli01
629,Christian Fischer,27,2TM,RW,46,1,6,7,31,fischch01
630,Max Sasson,24,VAN,F,29,3,4,7,31,sassoma01
631,Matthew Nieto,32,PIT,LW,32,1,2,3,31,nietoma01
632,Mike Reilly,31,NYI,D,18,0,2,2,31,reillmi01
633,Juuso Pärssinen,23,3TM,C,48,6,10,16,30,parssju01
634,Dennis Cholowski,26,2TM,D,39,3,7,10,30,cholode01
635,Shakir Mukhamadullin,23,SJS,D,30,2,7,9,30,mukhash01
636,Brock McGinn,30,ANA,LW,26,4,4,8,30,mcginbr01
637,Jacob Moverare,26,LAK,D,49,1,7,8,30,moverja01
638,Matt Rempe,22,NYR,C,42,3,5,8,30,rempema01
639,David Gustafsson,24,WPG,C,36,2,4,6,30,gustada01
640,Jonathan Lekkerimaki,20,VAN,RW,24,3,3,6,30,lekkejo01
641,John Marino,27,UTA,D,35,1,13,14,29,marinjo01
642,Matthew Poitras,20,BOS,C,33,1,10,11,29,poitrma01
643,Samuel Helenius,22,LAK,C,50,4,3,7,29,helensa02
644,Chris Wagner,33,COL,C,28,1,0,1,29,wagnech01
645,Klim Kostin,25,SJS,C,35,1,6,7,28,kostikl01
